label,x,y,z
1 1,5.00E-02,-5.00E-03,4.85E-01
1 2,1.00E-01,-5.00E-03,4.85E-01
1 3,1.50E-01,-5.00E-03,4.85E-01
1 4,2.00E-01,-5.00E-03,4.85E-01
1 5,2.50E-01,-5.00E-03,4.85E-01
1 6,3.00E-01,-5.00E-03,4.85E-01
1 7,3.50E-01,-5.00E-03,4.85E-01
1 8,4.00E-01,-5.00E-03,4.85E-01
1 9,5.00E-02,0.00E+00,4.25E-01
1 10,1.00E-01,0.00E+00,4.25E-01
1 11,1.50E-01,0.00E+00,4.25E-01
1 12,2.00E-01,0.00E+00,4.25E-01
1 13,2.50E-01,0.00E+00,4.25E-01
1 14,3.00E-01,0.00E+00,4.25E-01
1 15,3.50E-01,0.00E+00,4.25E-01
1 16,4.00E-01,0.00E+00,4.25E-01
1 17,5.00E-02,0.00E+00,3.75E-01
1 18,1.00E-01,0.00E+00,3.75E-01
1 19,1.50E-01,0.00E+00,3.75E-01
1 20,2.00E-01,0.00E+00,3.75E-01
1 21,2.50E-01,0.00E+00,3.75E-01
1 22,3.00E-01,0.00E+00,3.75E-01
1 23,3.50E-01,0.00E+00,3.75E-01
1 24,4.00E-01,0.00E+00,3.75E-01
1 25,5.00E-02,0.00E+00,3.25E-01
1 26,1.00E-01,0.00E+00,3.25E-01
1 27,1.50E-01,0.00E+00,3.25E-01
1 28,2.00E-01,0.00E+00,3.25E-01
1 29,2.50E-01,0.00E+00,3.25E-01
1 30,3.00E-01,0.00E+00,3.25E-01
1 31,3.50E-01,0.00E+00,3.25E-01
1 32,4.00E-01,0.00E+00,3.25E-01
1 33,5.00E-02,0.00E+00,2.75E-01
1 34,1.00E-01,0.00E+00,2.75E-01
1 35,1.50E-01,0.00E+00,2.75E-01
1 36,2.00E-01,0.00E+00,2.75E-01
1 37,2.50E-01,0.00E+00,2.75E-01
1 38,3.00E-01,0.00E+00,2.75E-01
1 39,3.50E-01,0.00E+00,2.75E-01
1 40,4.00E-01,0.00E+00,2.75E-01
1 41,5.00E-02,0.00E+00,2.25E-01
1 42,1.00E-01,0.00E+00,2.25E-01
1 43,1.50E-01,0.00E+00,2.25E-01
1 44,2.00E-01,0.00E+00,2.25E-01
1 45,2.50E-01,0.00E+00,2.25E-01
1 46,3.00E-01,0.00E+00,2.25E-01
1 47,3.50E-01,0.00E+00,2.25E-01
1 48,4.00E-01,0.00E+00,2.25E-01
1 49,5.00E-02,0.00E+00,1.75E-01
1 50,1.00E-01,0.00E+00,1.75E-01
1 51,1.50E-01,0.00E+00,1.75E-01
1 52,2.00E-01,0.00E+00,1.75E-01
1 53,2.50E-01,0.00E+00,1.76E-01
1 54,3.00E-01,0.00E+00,1.74E-01
1 55,3.50E-01,0.00E+00,1.74E-01
1 56,4.00E-01,0.00E+00,1.74E-01
1 57,5.00E-02,0.00E+00,1.25E-01
1 58,1.00E-01,0.00E+00,1.25E-01
1 59,1.50E-01,0.00E+00,1.25E-01
1 60,2.00E-01,0.00E+00,1.25E-01
1 61,2.50E-01,0.00E+00,1.25E-01
1 62,3.00E-01,0.00E+00,1.25E-01
1 63,3.50E-01,0.00E+00,1.25E-01
1 64,4.00E-01,0.00E+00,1.25E-01
1 65,5.00E-02,0.00E+00,7.50E-02
1 66,1.00E-01,0.00E+00,7.50E-02
1 67,1.50E-01,0.00E+00,7.50E-02
1 68,2.00E-01,0.00E+00,7.50E-02
1 69,2.50E-01,0.00E+00,7.50E-02
1 70,3.00E-01,0.00E+00,7.50E-02
1 71,3.50E-01,0.00E+00,7.50E-02
1 72,4.00E-01,0.00E+00,7.50E-02
