2410
1	1 1	1 3	1 2	1 4
2	1 1	1 3	1 4	1 6
3	1 1	1 3	1 6	1 8
4	1 1	1 3	1 8	1 10
5	1 1	1 3	1 10	1 12
6	1 1	1 3	1 12	1 14
7	1 1	1 3	1 14	1 16
8	1 1	1 3	1 16	1 18
9	1 1	1 3	1 18	1 20
10	1 1	1 3	1 20	1 22
11	1 1	1 3	1 5	1 7
12	1 1	1 3	1 7	1 9
13	1 1	1 3	1 9	1 11
14	1 1	1 3	1 11	1 13
15	1 1	1 3	1 13	1 15
16	1 1	1 3	1 15	1 17
17	1 1	1 3	1 17	1 19
18	1 1	1 3	1 19	1 21
19	1 1	1 3	1 21	1 23
20	1 1	1 3	1 23	1 25
21	1 1	1 3	1 22	1 24
22	1 1	1 3	1 24	1 26
23	1 1	1 3	1 26	1 28
24	1 1	1 3	1 28	1 30
25	1 1	1 3	1 30	1 32
26	1 1	1 3	1 32	1 34
27	1 1	1 3	1 34	1 36
28	1 1	1 3	1 36	1 38
29	1 1	1 3	1 38	1 40
30	1 1	1 3	1 40	1 42
31	1 1	1 3	1 25	1 27
32	1 1	1 3	1 27	1 29
33	1 1	1 3	1 29	1 31
34	1 1	1 3	1 31	1 33
35	1 1	1 3	1 33	1 35
36	1 1	1 3	1 35	1 37
37	1 1	1 3	1 37	1 39
38	1 1	1 3	1 39	1 41
39	1 1	1 3	1 41	1 43
40	1 1	1 3	1 43	1 45
41	1 1	1 3	1 42	1 44
42	1 1	1 3	1 44	1 46
43	1 1	1 3	1 46	1 48
44	1 1	1 3	1 48	1 50
45	1 1	1 3	1 50	1 52
46	1 1	1 3	1 52	1 54
47	1 1	1 3	1 54	1 56
48	1 1	1 3	1 56	1 58
49	1 1	1 3	1 58	1 60
50	1 1	1 3	1 60	1 62
51	1 1	1 3	1 45	1 47
52	1 1	1 3	1 47	1 49
53	1 1	1 3	1 49	1 51
54	1 1	1 3	1 51	1 53
55	1 1	1 3	1 53	1 55
56	1 1	1 3	1 55	1 57
57	1 1	1 3	1 57	1 59
58	1 1	1 3	1 59	1 61
59	1 1	1 3	1 61	1 63
60	1 1	1 3	1 63	1 65
61	1 1	1 3	1 62	1 64
62	1 1	1 3	1 64	1 66
63	1 1	1 3	1 66	1 68
64	1 1	1 3	1 68	1 70
65	1 1	1 3	1 70	1 72
66	1 1	1 3	1 72	1 2
67	1 1	1 3	1 65	1 67
68	1 1	1 3	1 67	1 69
69	1 1	1 3	1 69	1 71
70	1 2	1 4	1 3	1 5
71	1 2	1 4	1 5	1 7
72	1 2	1 4	1 7	1 9
73	1 2	1 4	1 9	1 11
74	1 2	1 4	1 11	1 13
75	1 2	1 4	1 13	1 15
76	1 2	1 4	1 15	1 17
77	1 2	1 4	1 17	1 19
78	1 2	1 4	1 19	1 21
79	1 2	1 4	1 21	1 23
80	1 2	1 4	1 6	1 8
81	1 2	1 4	1 8	1 10
82	1 2	1 4	1 10	1 12
83	1 2	1 4	1 12	1 14
84	1 2	1 4	1 14	1 16
85	1 2	1 4	1 16	1 18
86	1 2	1 4	1 18	1 20
87	1 2	1 4	1 20	1 22
88	1 2	1 4	1 22	1 24
89	1 2	1 4	1 24	1 26
90	1 2	1 4	1 23	1 25
91	1 2	1 4	1 25	1 27
92	1 2	1 4	1 27	1 29
93	1 2	1 4	1 29	1 31
94	1 2	1 4	1 31	1 33
95	1 2	1 4	1 33	1 35
96	1 2	1 4	1 35	1 37
97	1 2	1 4	1 37	1 39
98	1 2	1 4	1 39	1 41
99	1 2	1 4	1 41	1 43
100	1 2	1 4	1 26	1 28
101	1 2	1 4	1 28	1 30
102	1 2	1 4	1 30	1 32
103	1 2	1 4	1 32	1 34
104	1 2	1 4	1 34	1 36
105	1 2	1 4	1 36	1 38
106	1 2	1 4	1 38	1 40
107	1 2	1 4	1 40	1 42
108	1 2	1 4	1 42	1 44
109	1 2	1 4	1 44	1 46
110	1 2	1 4	1 43	1 45
111	1 2	1 4	1 45	1 47
112	1 2	1 4	1 47	1 49
113	1 2	1 4	1 49	1 51
114	1 2	1 4	1 51	1 53
115	1 2	1 4	1 53	1 55
116	1 2	1 4	1 55	1 57
117	1 2	1 4	1 57	1 59
118	1 2	1 4	1 59	1 61
119	1 2	1 4	1 61	1 63
120	1 2	1 4	1 46	1 48
121	1 2	1 4	1 48	1 50
122	1 2	1 4	1 50	1 52
123	1 2	1 4	1 52	1 54
