Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  
72	65	1	71	-1468.51	0	-3.44	-83.28	57.973	0.297
72	65	71	2	-1420.58	0	-4.02	124.65	-56.084	0.297
72	65	3	71	-1372.52	0	-2.25	-166.73	72.224	0.396
72	65	71	4	-1302.28	0	-3.32	67.53	-68.532	0.396
72	65	5	71	-1197.64	0	-3.87	-82.91	61.646	0.387
72	65	71	6	-1063.77	0	-3.16	172.52	-54.759	0.387
72	65	7	71	-973.82	0	-3.28	-227.49	49.418	0.382
72	65	71	8	-918.67	0	-3.11	276.02	-46.623	0.382
72	65	9	71	-1554.39	0	-0.85	-84.75	80.999	0.392
72	65	71	10	-1493.49	0	-1.12	6.15	-77.831	0.392
72	65	11	71	-1392.56	0	-1.26	-40.94	75.037	0.405
72	65	71	12	-1266.05	0	-1.71	32.92	-68.227	0.405
72	65	13	71	-1122.42	0	-2.28	-37.75	55.961	0.375
72	65	71	14	-1007.71	0	-2.35	31.94	-50.247	0.375
72	65	15	71	-1001.78	0	-1.61	-34.99	330.29	2.479
72	65	71	16	-948.81	0	-1.49	4.03	-312.861	2.479
72	65	17	71	-1651.88	0	-0.4	-42.76	94.457	0.43
72	65	71	18	-1588.28	0	-0.58	20.66	-90.832	0.43
72	65	19	71	-1419.82	0	-0.89	-96.43	83.278	0.441
72	65	71	20	-1219.13	0	-1.31	57.86	-71.517	0.441
72	65	21	71	-1057.51	0	-1.4	-60.09	62.571	0.444
72	65	71	22	-938.7	0	-1.52	40.58	-55.55	0.444
72	65	23	71	-912.74	0	-1.14	-25.03	308.905	2.541
72	65	71	24	-863.84	0	-1.22	9.81	-292.412	2.541
72	65	25	71	-1804.22	0	-0.6	-92.93	114.65	0.477
72	65	71	26	-1847.19	0	-0.39	52.79	-117.405	0.477
72	65	27	71	-1442.34	0	-0.54	-73.74	92.073	0.479
72	65	71	28	-1126.93	0	-0.82	45.75	-71.956	0.479
72	65	29	71	-936.26	0	-0.85	-73.31	59.452	0.476
72	65	71	30	-819	0	-1.01	38.74	-52.021	0.476
72	65	31	71	-797.02	0	-1.17	-21.14	274.406	2.58
72	65	71	32	-757.06	0	-1.27	25.8	-260.735	2.58
72	65	33	71	-1780.18	0	0.03	-83.56	117.006	0.492
72	65	71	34	-2901.79	0	1.42	44.55	-190.802	0.492
72	65	35	71	-1280.89	0	-0.5	-44.48	84.223	0.492
72	65	71	36	-917.5	0	-0.6	72.85	-60.358	0.492
72	65	37	71	-751.53	0	-0.97	-49.21	51.421	0.511
72	65	71	38	-664.58	0	-1.24	63.92	-45.497	0.511
72	65	39	71	-616.23	0	-1.26	-39.9	47.682	0.578
72	65	71	40	-591.04	0	-1.32	39.21	-45.764	0.578
72	65	41	71	-774.51	0	0.57	-33.91	44.563	0.429
72	65	71	42	-867.9	0	-0.28	25.52	-49.98	0.429
72	65	43	71	-701.17	0	-0.29	-22.7	59.07	0.627
72	65	71	44	-548.39	0	-0.56	38.09	-46.251	0.627
72	65	45	71	-496.32	0	-1.17	-37.36	46.194	0.691
72	65	71	46	-466.54	0	-0.95	31.61	-43.485	0.691
72	65	47	71	-451.49	0	-0.99	-12.16	43.552	0.714
72	65	48	71	-449.95	0	-1.4	-27.98	49.666	0.815
72	65	71	49	369.04	0	-2.15	51.44	40.823	0.815
72	65	50	71	166.02	0	-2.35	-20.76	-57.073	2.528
72	65	71	51	-6.11	0	-44.98	77.33	-2.108	2.528
72	65	52	71	-105.88	0	-0.89	-37.65	37.495	2.587
72	65	71	53	-185.99	0	-0.97	37.55	-66.157	2.587
72	65	54	71	-243.27	0	-0.51	-29.15	88.515	2.632
72	65	71	55	-280.65	0	-0.53	17.95	-102.802	2.632
72	65	56	71	-296.56	0	-0.52	-7.51	42.846	1.029
72	65	71	57	1595.93	0	-0.51	29.88	233.113	1.029
72	65	58	71	1041.83	0	-0.03	-19.61	-81.838	0.546
72	65	71	59	577.34	0	-1.05	23.86	46.27	0.546
72	65	60	71	280.8	0	-0.85	-65.17	-107.401	2.53
72	65	71	61	93.29	0	0.91	29	37.275	2.53
72	65	62	71	-30.67	0	-0.29	-21.37	13.478	2.588
72	65	71	63	-85.9	0	-0.21	9.69	-43.246	2.588
72	65	64	71	-85.89	0	0.65	-7.54	41.93	1.795
72	65	71	66	983.5	0	-0.63	22.73	468.4	1.795
72	65	67	71	815.57	0	-0.4	28.32	-85.758	0.583
72	65	71	68	572.97	0	-0.62	-22.72	48.73	0.583
72	65	69	71	387.33	0	-0.43	3.61	-115.184	2.491
72	65	71	70	202.43	0	-1.95	-7.11	42.807	2.491
72	65	63	71	-86.19	0	-0.77	-10.88	43.58	2.599
72	65	71	70	203.06	0	-1.05	-8.42	44.801	2.599
72	65	62	71	-30.72	0	-1.61	-20.56	13.888	2.663
