Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  
72	65	1	71	-1865.27	0	5.24	-6.93	44.811	0.181
72	65	71	2	-2150.61	0	4.33	24.47	-51.668	0.181
72	65	3	71	-2503.87	0	-1.13	-80.74	46.451	0.14
72	65	71	4	-3258.92	0	-1.4	33.56	-60.462	0.14
72	65	5	71	-3017.9	0	-1.86	-39.16	56.342	0.14
72	65	71	6	-2458.28	0	-1.2	54.41	-45.898	0.14
72	65	7	71	-2203.69	0	-1.35	-44.28	50.057	0.171
72	65	71	8	-2000.71	0	-1.31	37.83	-45.449	0.171
72	65	9	71	-1673.19	0	-1.13	25.21	47.062	0.212
72	65	71	10	-1914.81	0	-1.2	-13.11	-53.862	0.212
72	65	11	71	-2218.65	0	-1.34	35.45	47.357	0.161
72	65	71	12	-2717.52	0	-1.83	-8.65	-58.011	0.161
72	65	13	71	-2608.62	0	-1.77	30.27	54.425	0.157
72	65	71	14	-2215.21	0	-1.49	2.19	-46.222	0.157
72	65	15	71	-2362.86	0	-0.74	10.62	332.541	1.058
72	65	71	16	-2191.74	0	-0.65	-32.21	-308.493	1.058
72	65	17	71	-1366.59	0	-1.05	20.76	47.233	0.26
72	65	71	18	-1554.31	0	-0.84	-66.48	-53.729	0.26
72	65	19	71	-1731.4	0	-1.16	0.23	47.224	0.205
72	65	71	20	-1966.46	0	-1.33	-23.91	-53.643	0.205
72	65	21	71	-2007.9	0	-1.34	-0.12	50.495	0.189
72	65	71	22	-1875.59	0	-1.34	-23.81	-47.176	0.189
72	65	23	71	-2013.35	0	-0.62	8.59	272.622	1.017
72	65	71	24	-1913.45	0	-0.62	-30.29	-259.142	1.017
72	65	25	71	-903.64	0	0.18	-24.54	47.424	0.394
72	65	71	26	-1061.52	0	-0.14	-40.13	-55.722	0.394
72	65	27	71	-1220.32	0	-0.85	6.03	47.634	0.293
72	65	71	28	-1403.96	0	-0.8	-24.2	-54.816	0.293
72	65	29	71	-1479.58	0	-1.31	-6.06	47.5	0.241
72	65	71	30	-1475.88	0	-1.19	-26.1	-47.395	0.241
72	65	31	71	-1599.99	0	-0.55	20.47	209.031	0.979
72	65	71	32	-1568.86	0	-0.54	-22.64	-205.032	0.979
72	65	33	71	-315.14	0	2.02	-0.48	40.757	0.969
72	65	71	34	-474.1	0	1.03	-13.43	-61.34	0.969
72	65	35	71	-670.79	0	0.03	5.27	47.701	0.532
72	65	71	36	-878	0	0.1	-13.13	-62.465	0.532
72	65	37	71	-990.59	0	-0.72	2.62	47.615	0.359
72	65	71	38	-1084.61	0	-0.7	-17.82	-52.164	0.359
72	65	39	71	-1115.64	0	-0.63	21.71	47.453	0.318
72	65	71	40	-1132.78	0	-0.67	-32.02	-48.215	0.318
72	65	41	71	444.65	0	-2.93	24.33	-55.789	0.935
72	65	71	42	243.36	0	-4.24	-46.72	30.56	0.935
72	65	43	71	-27.85	0	19.02	34.98	3.462	0.925
72	65	71	44	-303.05	0	2.43	-34.59	-37.723	0.925
72	65	45	71	-530.32	0	-0.5	8.13	47.167	0.66
72	65	71	46	-683.66	0	0.08	-33.38	-60.892	0.66
72	65	47	71	-756.03	0	-0.09	35.44	47.205	0.462
72	65	48	71	-819.75	0	0.69	28.95	47.605	0.429
72	65	71	49	1286.83	0	-2.24	-16.38	74.894	0.429
72	65	50	71	982.76	0	-2.26	46.09	-79.578	0.595
72	65	71	51	580.72	0	-2.1	-2.53	47.166	0.595
72	65	52	71	216.44	0	-5.24	6.54	-26.488	0.894
72	65	71	53	-82.41	0	9.72	-41.84	-10.13	0.894
72	65	54	71	-303.06	0	0.49	3.39	36.865	0.88
72	65	71	55	-450.59	0	0.59	-34.73	-55.178	0.88
72	65	56	71	-523.06	0	0.76	34.75	46.604	0.635
72	65	71	57	2329.91	0	-1.36	-39.63	209.878	0.635
72	65	58	71	1625.71	0	-1.26	11.25	-73.979	0.316
72	65	71	59	1028.26	0	-2	-35.47	47.739	0.316
72	65	60	71	586.22	0	-2.02	0.43	-77.613	0.876
72	65	71	61	242.82	0	-3.44	-34.52	33.584	0.876
72	65	62	71	-4.88	0	89.11	21.97	0.715	0.863
72	65	71	63	-130.19	0	2.46	-39.07	-21.861	0.863
72	65	64	71	-146.61	0	2.57	44.37	34.252	0.859
72	65	71	66	1292	0	-1.19	-29.23	294.481	0.859
72	65	67	71	1154.24	0	-1.41	25.3	-78.204	0.376
72	65	71	68	871.13	0	-2.02	-41.38	47.739	0.376
72	65	69	71	623.6	0	-2.23	17.68	-63.401	0.852
72	65	71	70	347.9	0	-5.32	-41.7	25.152	0.852
72	65	63	71	-129.65	0	3.42	37.25	20.536	0.814
72	65	71	70	347.06	0	-4.8	-40.38	23.988	0.814
72	65	62	71	-6.24	0	-15.8	20.38	0.83	0.783
