,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,1.00,3.00,2.00,4.00,1536.26,0.00,0.00,120.32,1025.905,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,4.00,6.00,732.65,0.00,0.00,-141.77,-391.408,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,6.00,8.00,996.84,0.00,0.00,4.83,-76.078,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,8.00,10.00,18906.66,0.00,0.00,-3.89,-480.981,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,10.00,12.00,-49984.11,0.00,0.00,4.53,577.994,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,12.00,14.00,11415.68,0.00,0.00,-77.29,-71.080,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,14.00,16.00,11759.45,0.00,0.00,95.79,-43.932,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,16.00,18.00,172714.41,0.00,0.00,-43.44,-417.511,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,18.00,20.00,-217897.11,0.00,0.00,2.91,360.398,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,20.00,22.00,-36657.89,0.00,0.00,-33.33,43.308,6.294,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,9,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,5.00,7.00,921.12,0.00,0.00,25.40,-86.426,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,7.00,9.00,24050.08,0.00,0.00,-93.66,-564.135,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,9.00,11.00,-56819.32,0.00,0.00,6.30,533.117,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,11.00,13.00,-11602.55,0.00,0.00,-9.75,54.431,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,13.00,15.00,14400.68,0.00,0.00,30.70,-38.605,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,15.00,17.00,220028.52,0.00,0.00,-15.63,-368.652,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,17.00,19.00,-228119.97,0.00,0.00,27.66,254.807,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,19.00,21.00,-122005.59,0.00,0.00,59.35,95.395,3.537,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,5,1.5,ERT0122,0.0,0.00,0.0
,1.00,3.00,21.00,23.00,3739.41,0.00,0.00,-24.46,-23.350,38.841,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,50,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,23.00,25.00,594953.31,0.00,0.00,-87.29,-2786.252,38.841,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,50,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,22.00,24.00,13861.99,0.00,0.00,49.39,-61.121,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,24.00,26.00,501718.97,0.00,0.00,-124.82,-1681.274,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,26.00,28.00,-424688.19,0.00,0.00,83.60,1106.897,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,28.00,30.00,-181256.06,0.00,0.00,1.54,374.675,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,30.00,32.00,-29377.97,0.00,0.00,40.68,48.974,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,32.00,34.00,960448.75,0.00,0.00,-50.18,-1309.999,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,34.00,36.00,-626401.50,0.00,0.00,9.49,707.897,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,36.00,38.00,-371876.84,0.00,0.00,31.13,352.115,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
,1.00,3.00,38.00,40.00,-129129.83,0.00,0.00,-19.87,103.456,31.780,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,41,1.3,ERT0122,0.0,0.00,0.0
