,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,71.00,1.00,-1319.22,0.00,2.62,-30.84,-45.345,0.259,2000,3.37,2.25,2.42,2.34,2.14,2.48,2.56,2.52,2.83,2.69,2.77,2.75,3.03,2.64,2.64,2.60,2.66,2.59,2.61,2.39,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,13,49.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,2.00,-1506.13,0.00,-0.99,-4.85,-45.221,0.226,2000,-1.42,-2.69,-2.19,-2.11,-1.42,-1.67,-1.62,-1.58,-1.19,-1.36,-1.23,-1.16,-0.96,-0.91,-0.63,-0.46,-0.76,-0.73,-0.60,-0.47,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,11,49.6,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,3.00,-1851.67,0.00,-1.27,-35.01,-45.097,0.183,2000,-1.53,-2.55,-2.31,-1.78,-2.02,-2.60,-2.17,-1.60,-1.60,-1.10,-1.57,-1.13,-1.08,-1.06,-1.17,-1.06,-1.12,-0.79,-1.09,-0.79,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,9,50.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,4.00,-2423.76,0.00,-1.82,0.47,-45.049,0.140,2000,-3.14,-3.57,-3.14,-2.95,-2.49,-2.49,-2.47,-2.36,-1.94,-1.83,-1.80,-1.88,-1.50,-1.43,-1.52,-1.64,-1.44,-1.66,-1.38,-1.41,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,7,52.0,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,5.00,-2255.50,0.00,-3.98,31.13,-44.525,0.149,2000,-7.56,-7.71,-6.82,-6.21,-5.76,-5.60,-5.64,-4.92,-4.78,-4.28,-4.05,-3.98,-4.05,-3.56,-3.51,-3.39,-3.06,-2.94,-2.99,-2.71,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,8,52.1,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,6.00,-1832.75,0.00,-2.44,-45.07,-44.534,0.183,2000,-3.96,-4.44,-4.30,-3.98,-3.79,-3.65,-3.56,-2.99,-2.84,-2.87,-2.70,-2.35,-2.25,-2.30,-2.12,-2.08,-2.14,-1.92,-1.54,-1.59,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,9,50.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,7.00,-1562.73,0.00,-2.34,6.21,-44.744,0.215,2000,-4.01,-4.50,-3.89,-3.73,-3.37,-2.82,-3.08,-2.79,-2.81,-2.43,-2.34,-2.48,-2.59,-2.14,-2.06,-2.01,-2.13,-1.87,-1.61,-1.49,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,11,51.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,8.00,-1432.03,0.00,-2.16,-59.84,-44.906,0.236,2000,-3.74,-4.02,-3.97,-3.31,-3.28,-3.00,-2.83,-3.05,-2.69,-2.56,-2.23,-2.14,-2.02,-2.01,-1.82,-1.69,-1.67,-1.66,-1.59,-1.50,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,12,51.0,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,9.00,-1169.86,0.00,-2.55,-110.39,-45.288,0.291,2000,-6.04,-5.98,-5.23,-4.65,-4.33,-3.99,-3.67,-3.12,-3.04,-2.67,-2.53,-2.76,-2.27,-2.26,-2.26,-2.01,-1.92,-1.77,-1.70,-1.25,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,15,50.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,10.00,-1323.48,0.00,-2.76,-62.60,-45.173,0.257,2000,-6.95,-7.25,-6.08,-5.24,-4.84,-4.41,-4.13,-3.92,-3.17,-2.96,-2.96,-2.60,-2.68,-2.53,-2.26,-2.10,-1.70,-1.72,-1.58,-1.53,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,13,51.5,MALMIP0113,0.0,0.00,0.0
