,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,1.00,71.00,-1468.51,0.00,-3.44,-83.28,57.973,0.297,2000,-3.35,-4.47,-4.45,-4.41,-4.35,-4.34,-4.13,-4.15,-3.79,-3.86,-3.60,-3.47,-3.52,-3.58,-3.44,-3.21,-2.99,-3.10,-2.97,-2.60,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,8.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,2.00,-1420.58,0.00,-4.02,124.65,-56.084,0.297,2000,-3.93,-5.26,-4.99,-5.03,-4.87,-5.06,-4.62,-4.62,-4.33,-4.40,-4.38,-4.22,-4.17,-4.26,-3.93,-3.68,-3.62,-3.61,-3.53,-3.26,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,8.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,2.00,1.00,975098.63,0.00,0.64,-40.77,-18.094,2.491,2000,0.16,-0.33,-0.03,-0.16,-0.10,0.03,0.23,0.58,1.22,0.33,0.81,1.19,0.56,1.52,0.56,0.65,0.63,1.02,0.76,0.49,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,3.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,3.00,71.00,-1372.52,0.00,-2.25,-166.73,72.224,0.396,2000,-3.90,-3.65,-3.02,-2.44,-2.32,-2.18,-2.43,-2.34,-2.41,-2.56,-2.59,-2.57,-2.70,-2.44,-2.36,-2.06,-1.98,-1.77,-1.74,-1.64,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.5,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,4.00,-1302.28,0.00,-3.32,67.53,-68.532,0.396,2000,-6.59,-5.37,-4.32,-3.58,-3.03,-3.11,-3.27,-3.23,-3.47,-3.73,-3.84,-4.09,-3.92,-3.68,-3.43,-3.07,-2.92,-2.68,-2.48,-2.48,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.5,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,4.00,3.00,1099780.25,0.00,-1.66,99.40,-21.633,2.410,2000,-7.03,-6.75,-6.20,-5.37,-4.24,-4.68,-3.91,-2.69,-2.03,-2.18,-2.04,-1.82,-2.23,-1.36,-0.48,-0.63,-0.76,-0.26,-0.32,0.52,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.1,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,3.00,2.00,1364854.63,0.00,-0.61,-19.72,-25.639,2.410,2000,0.05,-1.23,-0.88,-0.53,-1.21,-0.40,-0.93,-1.19,-0.90,-0.88,-0.62,-0.81,-0.28,-0.62,-0.83,-0.62,-0.28,-0.30,-0.16,-0.77,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.1,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,5.00,71.00,-1197.64,0.00,-3.87,-82.91,61.646,0.387,2000,-9.12,-10.34,-9.78,-9.06,-7.92,-7.18,-6.84,-6.15,-5.54,-5.02,-4.30,-3.85,-3.17,-2.60,-2.50,-2.27,-2.09,-1.91,-2.10,-2.30,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.7,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,6.00,-1063.77,0.00,-3.16,172.52,-54.759,0.387,2000,-6.79,-7.94,-7.49,-7.09,-6.23,-5.58,-5.29,-5.13,-4.64,-4.13,-3.51,-3.02,-2.53,-2.26,-2.06,-1.95,-1.93,-1.70,-1.64,-2.04,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.7,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,6.00,5.00,2101494.00,0.00,-3.70,-94.26,-37.371,1.983,2000,-5.77,-6.43,-5.77,-5.74,-5.74,-5.41,-5.20,-4.95,-4.73,-4.18,-3.92,-3.79,-4.16,-3.25,-3.23,-3.00,-2.88,-2.68,-2.69,-2.60,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,8,4.2,MALMIP1201,0.0,0.00,0.0
